URL: /
Timestamp: Thu Oct 20 2022 18:59:26 GMT-0400 (Eastern Daylight Time)
::1 - - [11/Dec/2022:22:16:02 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 200 180 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:16:32 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 200 184 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:21:33 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 200 188 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:22:08 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 200 164 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:24:20 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 200 168 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:31:00 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 57 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:31:27 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 49 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:44:14 +0000] "GET /movie-api/movies HTTP/1.1" 500 1874 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:45:03 +0000] "GET /movie-api/movies HTTP/1.1" 500 1874 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:45:42 +0000] "GET /movie-api/movies HTTP/1.1" 200 8368 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:49:54 +0000] "GET /movie-api/genre/?name=comedy HTTP/1.1" 404 155 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:50:24 +0000] "GET /movie-api/genre/?name=comedy HTTP/1.1" 404 155 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:51:32 +0000] "GET /movie-api/genre/?name=comedy HTTP/1.1" 404 155 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:51:33 +0000] "GET /movie-api/genre/?name=comedy HTTP/1.1" 404 155 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:51:34 +0000] "GET /movie-api/genre/?name=comedy HTTP/1.1" 404 155 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:52:00 +0000] "GET /movie-api/genre/:name HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:53:24 +0000] "GET /movie-api/genre/comedy HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:23:03:18 +0000] "GET /movie-api/genre/comedy HTTP/1.1" 200 8368 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:23:04:15 +0000] "GET /movie-api/genre/comedy HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:23:04:41 +0000] "GET /movie-api/genre/comedy HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:23:04:57 +0000] "GET /movie-api/genre/comedy HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:23:05:28 +0000] "GET /movie-api/genre/comedy HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:23:10:09 +0000] "GET /movie-api/genre/comedy HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:23:10:23 +0000] "GET /movie-api/genre/comedy HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:23:10:37 +0000] "GET /movie-api/genre/comedy HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:23:11:11 +0000] "GET /movie-api/genre/comedy HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:23:11:44 +0000] "GET /movie-api/genre/comedy HTTP/1.1" 200 177 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:23:12:25 +0000] "GET /movie-api/genre/comedy HTTP/1.1" 200 242 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:23:13:57 +0000] "GET /movie-api/genre/Comedy HTTP/1.1" 200 242 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:23:29:56 +0000] "GET /movie-api/director/Christopher+Nolan HTTP/1.1" 404 175 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:23:30:38 +0000] "GET /movie-api/movies/director/Christopher+Nolan HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:23:33:12 +0000] "GET /movie-api/movies/director/Christopher+Nolan HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:23:34:29 +0000] "GET /movie-api/movies/director/Christopher+Nolan HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
